date,description,amount
29/11/2025,Banking App Transfer to Credit Card: Transfer,-800.0
30/11/2025,Banking App Prepaid Purchase: Cell C Cellphone,-12.0
30/11/2025,Banking App Prepaid Purchase: Cell C Cellphone (Fee),-0.5
30/11/2025,Monthly Account Admin Fee Fees (Fee),-7.5
01/12/2025,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
02/12/2025,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
04/12/2025,Banking App Transfer to Credit Card: Transfer,-600.0
06/12/2025,Banking App Transfer to Credit Card: Transfer,-831.06
08/12/2025,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
12/12/2025,Banking App External Payment: Gems Medical Aid,-1606.0
12/12/2025,Banking App External Payment: Gems Medical Aid (Fee),-2.0
12/12/2025,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,-300.0
12/12/2025,Banking App External Payment: St Davids Anglican Uncategorised,-200.0
12/12/2025,SMS Notification Fee: 8 notification(s) Fees (Fee),-2.8
13/12/2025,Banking App Transfer to Credit Card: Transfer,-200.0
13/12/2025,SMS Notification Fee: 2 notification(s) Fees (Fee),-0.7
14/12/2025,"Banking App External Payment: Tenacity Financial S Store Account 
Payments",-500.0
14/12/2025,"Banking App External Payment: Tenacity Financial S Store Account 
Payments (Fee)",-2.0
14/12/2025,Banking App Transfer to Noah Party: Transfer,-4000.0
14/12/2025,SMS Notification Fee: 5 notification(s) Fees (Fee),-1.75
15/12/2025,Banking App Prepaid Purchase: Cell C Cellphone,-25.0
15/12/2025,Banking App Prepaid Purchase: Cell C Cellphone (Fee),-0.5
17/12/2025,Banking App Prepaid Purchase: Cell C Cellphone,-25.0
17/12/2025,Banking App Prepaid Purchase: Cell C Cellphone (Fee),-0.5
19/12/2025,Banking App Prepaid Purchase: Cell C Cellphone,-25.0
19/12/2025,Banking App Prepaid Purchase: Cell C Cellphone (Fee),-0.5
19/12/2025,SMS Notification Fee: 2 notification(s) Fees (Fee),-0.7
20/12/2025,Banking App Transfer to Credit Card: Transfer,-393.06
20/12/2025,Banking App Transfer to Credit Card: Transfer,-500.0
21/12/2025,Banking App Prepaid Purchase: Cell C Cellphone,-5.0
21/12/2025,Banking App Prepaid Purchase: Cell C Cellphone (Fee),-0.5
22/12/2025,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
23/12/2025,Banking App Transfer to Credit Card: Transfer,-300.0
23/12/2025,SMS Notification Fee: 2 notification(s) Fees (Fee),-0.7
24/12/2025,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
31/12/2025,Interest Received,3.53
03/01/2026,"Banking App Transfer from Live Better Savings Account 
(2234100670)",107.29
03/01/2026,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
04/01/2026,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
05/01/2026,Banking App Transfer to Credit Card: Transfer,-500.0
05/01/2026,SMS Notification Fee: 3 notification(s) Fees (Fee),-1.05
06/01/2026,Banking App Immediate Payment: Judy Digital Payments,-500.0
06/01/2026,Banking App Immediate Payment: Judy Digital Payments (Fee),-1.0
08/01/2026,Btc Business Technolog Queenstown (Card 5521) Education,-403.6
09/01/2026,Live Better Round-up Transfer,-6.4
10/01/2026,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
11/01/2026,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
04/10/2025,Banking App Transfer to Credit Card: Transfer Transfer,-500.0
04/10/2025,SMS Notification Fee: 2 notification(s) Fees,-0.7
07/10/2025,Banking App Transfer to Credit Card: Transfer Transfer,-200.0
08/10/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-30.0
08/10/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-0.5
11/10/2025,Banking App Transfer to Credit Card: Transfer Transfer,-200.0
15/10/2025,Banking App Transfer to Credit Card: Transfer Transfer,-207.75
19/10/2025,SMS Notification Fee: 1 notification(s) Fees,-0.35
20/10/2025,DebiCheck Debit Order (2733625678): Nedabf/mfc  Loan Payments,-3146.06
20/10/2025,DebiCheck Debit Order (2733625678): Nedabf/mfc  Loan Payments,-3.0
20/10/2025,Banking App Transfer to Credit Card: Transfer Transfer,-3000.0
20/10/2025,Banking App Immediate Payment: Chris Salary,-2200.0
20/10/2025,Banking App External Payment: Tenacity Financial S Store Account,-500.0
20/10/2025,Banking App External Payment: Mini-minors Educare Uncategorised,-2100.0
20/10/2025,SMS Notification Fee: 12 notification(s) Fees,-4.2
25/10/2025,Banking App Transfer Received from Credit Card: Transfer Transfer,500.0
25/10/2025,SMS Notification Fee: 2 notification(s) Fees,-0.7
26/10/2025,Payment Received: C Mcpherson Other Income,6000.0
27/10/2025,Banking App Transfer to Credit Card: Transfer Transfer,-1000.0
27/10/2025,SMS Notification Fee: 2 notification(s) Fees,-0.7
31/10/2025,Monthly Account Admin Fee Fees,-7.5
02/11/2025,SMS Notification Fee: 1 notification(s) Fees,-0.35
05/11/2025,Banking App Transfer to Credit Card: Transfer Transfer,-500.0
08/11/2025,Banking App Immediate Payment: Judy Digital Payments,-250.0
08/11/2025,Banking App Immediate Payment: Judy Digital Payments,-1.0
08/11/2025,Banking App Transfer to Credit Card: Transfer Transfer,-200.0
11/11/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-5.0
11/11/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-0.5
15/11/2025,Banking App Transfer to Credit Card: Transfer Transfer,-232.1
19/11/2025,SMS Notification Fee: 2 notification(s) Fees,-0.7
20/11/2025,DebiCheck Debit Order (2798678262): Nedabf/mfc  Loan Payments,-3146.06
20/11/2025,Banking App Transfer to Credit Card: Transfer Transfer,-3000.0
20/11/2025,Banking App External Payment: Gems Medical Aid,-1606.0
20/11/2025,Banking App External Payment: St Davids Anglican Uncategorised,-200.0
21/11/2025,Banking App Immediate Payment: Chris Digital Payments,-1700.0
21/11/2025,Banking App Immediate Payment: Chris Digital Payments,-1.0
21/11/2025,SMS Notification Fee: 2 notification(s) Fees,-0.7
24/11/2025,Banking App Transfer to Credit Card: Transfer Transfer,-200.0
24/11/2025,SMS Notification Fee: 2 notification(s) Fees,-0.7
25/11/2025,DebiCheck Debit Order (2809328558): Mobicred  Loan Payments,-537.0
25/11/2025,DebiCheck Debit Order (2809328558): Mobicred  Loan Payments,-3.0
25/11/2025,SMS Notification Fee: 2 notification(s) Fees,-0.7
26/11/2025,SMS Notification Fee: 1 notification(s) Fees,-0.35
28/11/2025,Banking App Transfer to Lorensavings: Transfer Transfer,-3500.0
28/11/2025,Banking App Transfer to Lorensavings: Transfer Transfer,-300.0
29/11/2025,Payment Received: J Van Der Bergh Other Income,500.0
29/11/2025,SMS Notification Fee: 2 notification(s) Fees,-0.7
30/11/2025,Interest Received Interest,3.26
01/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-15.0
01/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-0.5
02/12/2025,PayShap Payment Received: Christopher Mcpherso Other Income,942.0
03/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-5.0
03/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-0.5
04/12/2025,SMS Notification Fee: 1 notification(s) Fees,-0.35
06/12/2025,SMS Notification Fee: 1 notification(s) Fees,-0.35
12/12/2025,Payment Received: Anpersald5 D5  Salary,17271.91
12/12/2025,Banking App External Payment: Tenacity Financial S Store Account,-500.0
12/12/2025,SMS Payment Notification Fee Fees,-0.35
13/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-25.0
13/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-0.5
13/12/2025,Banking App Transfer to Credit Card: Transfer Transfer,-600.0
14/12/2025,Banking App Transfer to Credit Card: Transfer Transfer,-1000.0
14/12/2025,Banking App Transfer to Noah Nanny: Transfer Transfer,-2500.0
14/12/2025,Banking App Immediate Payment: Judy Digital Payments,-650.0
14/12/2025,Banking App Immediate Payment: Judy Digital Payments,-1.0
17/12/2025,Banking App Immediate Payment: Judy Digital Payments,-300.0
17/12/2025,Banking App Immediate Payment: Judy Digital Payments,-1.0
17/12/2025,SMS Notification Fee: 1 notification(s) Fees,-0.35
19/12/2025,Banking App Transfer to Credit Card: Transfer Transfer,-300.0
20/12/2025,DebiCheck Debit Order (2873073735): Nedabf/mfc  Loan Payments,-69.0
20/12/2025,DebiCheck Debit Order (2873073735): Nedabf/mfc  Loan Payments,-3.0
20/12/2025,Banking App Transfer to Credit Card: Transfer Transfer,-300.0
20/12/2025,SMS Notification Fee: 4 notification(s) Fees,-1.4
22/12/2025,Eft Debit Order (2874770845): Vodacom 04 (74210168  Cellphone,-822.2
22/12/2025,Eft Debit Order (2874770845): Vodacom 04 (74210168  Cellphone,-3.0
23/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-5.0
23/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-0.5
24/12/2025,DebiCheck Debit Order (2882042374): Mobicred  Loan Payments,-513.0
24/12/2025,DebiCheck Debit Order (2882042374): Mobicred  Loan Payments,-3.0
29/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-5.0
29/12/2025,Banking App Prepaid Purchase: Cell C Cellphone *,-0.5
31/12/2025,Monthly Account Admin Fee Fees,-7.5
03/01/2026,Banking App Immediate Payment: Chris Digital Payments,-150.0
03/01/2026,Banking App Immediate Payment: Chris Digital Payments,-1.0
04/01/2026,PayShap Payment Received: Christopher Mcpherso Other Income,3000.0
05/01/2026,Banking App Prepaid Purchase: Cell C Cellphone *,-5.0
05/01/2026,Banking App Prepaid Purchase: Cell C Cellphone *,-0.5
06/01/2026,Banking App Prepaid Purchase: Cell C Cellphone *,-15.0
06/01/2026,Banking App Prepaid Purchase: Cell C Cellphone *,-0.5
06/01/2026,SMS Notification Fee: 1 notification(s) Fees,-0.35
08/01/2026,Live Better Round-up Transfer Transfer,-7.88
11/01/2026,Banking App Immediate Payment: Judy Digital Payments,-100.0
11/01/2026,Banking App Immediate Payment: Judy Digital Payments,-1.0
