date,description,amount
20251218,CASH DEPOSIT FEE - AUTOBANK,-17.8
20251219,CREDIT TRANSFER 9024,7700.0
20251219,CREDIT TRANSFER 9246,6000.0
20251219,MAGTAPE CREDIT 9358,1000.0
20251219,CREDIT TRANSFER 9487,3000.0
20251219,MAGTAPE CREDIT 9965,2000.0
20251219,PAYSHAP PAYMENT FROM,1500.0
20251219,IB PAYMENT FROM,2300.0
20251219,PAYSHAP PAYMENT FROM,2500.0
20251219,IB PAYMENT FROM,2500.0
20251219,IB PAYMENT FROM,2600.0
20251219,CASH DEPOSIT,180.5
20251219,CASH DEPOSIT,1000.0
20251219,FEE NOTES DEPOSIT CASH CENTRE,-6.77
20251219,FEE NOTES DEPOSIT CASH CENTRE,-16.77
20251220,CREDIT TRANSFER 9350,6000.0
20251220,CREDIT TRANSFER 9407,1700.0
20251220,CREDIT TRANSFER 9540,2400.0
20251220,IB PAYMENT FROM,2500.0
20251220,STOP ORDER,1832.28
20251222,CREDIT TRANSFER 9390,1030.0
20251222,MAGTAPE CREDIT 9392,1400.0
20251222,CREDIT TRANSFER 9411,2500.0
20251222,CREDIT TRANSFER 9546,2500.0
20251222,CREDIT TRANSFER 9661,2500.0
20251222,CREDIT TRANSFER 9789,2500.0
20251222,CREDIT TRANSFER 9842,4220.0
20251222,CREDIT TRANSFER 9946,2500.0
20251222,IB PAYMENT FROM,2500.0
20251223,CREDIT TRANSFER,2000.0
20251223,CREDIT TRANSFER 9798,2700.0
20251223,CREDIT TRANSFER 9964,31480.0
20251223,IB PAYMENT FROM,2500.0
20251223,AUTOBANK CASH DEPOSIT,5970.0
20251223,CASH DEPOSIT FEE - AUTOBANK HH,-82.8
20251224,CREDIT TRANSFER 9466,1000.0
20251224,CREDIT TRANSFER 9571,2000.0
20251224,CREDIT TRANSFER 9935,3400.0
20251227,CREDIT TRANSFER 9223,2400.0
20251227,CREDIT TRANSFER 9749,2500.0
20251227,IB PAYMENT FROM,2400.0
20251227,IB PAYMENT FROM,2500.0
20251227,DEBIT TRANSFER 9262,-1725.0
20251229,CREDIT TRANSFER 9057,2500.0
20251229,CREDIT TRANSFER 9140,2500.0
20251229,IB PAYMENT FROM,1500.0
20251230,CREDIT TRANSFER 9175,4000.0
20251230,CREDIT TRANSFER 9278,1000.0
20251230,CREDIT TRANSFER 9397,2500.0
20251230,MAGTAPE CREDIT 9715,3000.0
20251230,CREDIT TRANSFER 9782,5300.0
20251230,PAYSHAP PAYMENT FROM,2000.0
20251230,PAYSHAP PAYMENT FROM,3000.0
20251230,PAYSHAP PAYMENT FROM,3000.0
20251230,ELECTRONIC BANKING PAYMENT FR,14339.0
20251230,ELECTRONIC BANKING PAYMENT FR,15886.0
20251230,ELECTRONIC BANKING PAYMENT FR,66388.43
20251230,ELECTRONIC BANKING PAYMENT TO,-221.56
20251230,ELECTRONIC BANKING PAYMENT TO,-221.56
20251230,ELECTRONIC BANKING PAYMENT TO,-221.56
20251230,ELECTRONIC BANKING PAYMENT TO,-221.56
20251230,ELECTRONIC BANKING PAYMENT TO,-221.56
20251230,ELECTRONIC BANKING PAYMENT TO,-221.56
20251230,ELECTRONIC BANKING PAYMENT TO,-627.5
20251230,ELECTRONIC BANKING PAYMENT TO,-709.09
20251230,ELECTRONIC BANKING PAYMENT TO,-1063.31
20251230,ELECTRONIC BANKING PAYMENT TO,-1319.9
20251230,ELECTRONIC BANKING PAYMENT TO,-1681.42
20251230,ELECTRONIC BANKING PAYMENT TO,-1827.0
20251230,ELECTRONIC BANKING PAYMENT TO,-1868.3
20251230,ELECTRONIC BANKING PAYMENT TO,-2171.4
20251230,ELECTRONIC BANKING PAYMENT TO.,-2741.6
20251230,ELECTRONIC BANKING PAYMENT TO,-3551.58
20251230,ELECTRONIC BANKING PAYMENT TO,-4908.17
20251230,ELECTRONIC BANKING PAYMENT TO,-12219.05
20251231,MAGTAPE CREDIT 9140,15888.72
20251231,CREDIT TRANSFER,9244.0
20251231,CREDIT TRANSFER 9348,3000.0
20251231,MAGTAPE CREDIT 9525,5000.0
20251231,PAYSHAP PAYMENT FROM,320.0
20251231,PAYSHAP PAYMENT FROM,2200.0
20251231,PAYSHAP PAYMENT FROM,2400.0
20251231,PAYSHAP PAYMENT FROM,2500.0
20251231,PAYSHAP PAYMENT FROM,2500.0
20251231,REAL TIME TRANSFER FROM,2500.0
20251231,PAYSHAP PAYMENT FROM,3000.0
20251231,PAYSHAP PAYMENT FROM,7609.0
20251231,ELECTRONIC BANKING PAYMENT TO,-1050.0
20251231,ELECTRONIC BANKING PAYMENT TO,-332925.71
20251231,ACCOUNT PAYMENT 9466,-872.85
20251231,MONTHLY MANAGEMENT FEE HH,-110.0
20251231,SERVICE FEE Ht,-147.98
